"","building_eval_score","year_built","year_evaluated","wardname","reactive_score"
"138",100,2012,2023,"Scarborough-Agincourt",0
"139",96,1970,2024,"Scarborough-Agincourt",0
"140",90,1962,2024,"Beaches-East York",-1
"141",80,1940,2024,"Beaches-East York",0
"142",76,1952,2023,"Beaches-East York",0
"143",89,1965,2024,"University-Rosedale",-1
"144",83,1996,2024,"Spadina-Fort York",0
"145",83,1963,2024,"York South-Weston",0
"146",71,1965,2023,"York South-Weston",-1
"147",97,2005,2023,"Toronto Centre",0
"148",99,1910,2023,"Toronto Centre",0
"149",97,1910,2023,"Toronto Centre",0
"150",23,1958,2024,"Willowdale",0
"151",56,1994,2023,"Spadina-Fort York",-1
"152",100,1929,2023,"Toronto-St. Paul's",0
"153",82,1960,2023,"Parkdale-High Park",0
"154",86,1955,2023,"Toronto-St. Paul's",0
"155",85,1937,2023,"Toronto-St. Paul's",0
"156",97,1967,2023,"Don Valley East",0
"157",85,1960,2023,"York South-Weston",0
"158",87,1955,2024,"York South-Weston",-2
"159",92,1951,2024,"York South-Weston",0
"160",91,1951,2024,"York South-Weston",0
"161",83,1951,2023,"York South-Weston",0
"162",92,1951,2024,"York South-Weston",0
"163",67,1950,2023,"York South-Weston",0
"164",83,1951,2023,"York South-Weston",0
"165",67,1950,2023,"York South-Weston",0
"166",88,1915,2024,"York South-Weston",0
"167",90,1958,2023,"York South-Weston",0
"168",98,1981,2023,"Etobicoke Centre",0
"169",91,1989,2023,"University-Rosedale",-2
"170",57,1970,2023,"University-Rosedale",0
"171",96,1992,2023,"University-Rosedale",0
"172",92,1972,2023,"Don Valley North",0
"173",91,1970,2023,"Don Valley North",0
"174",86,1971,2024,"Parkdale-High Park",-1
"175",89,1920,2024,"Parkdale-High Park",0
"176",89,1968,2024,"York South-Weston",0
"177",85,1959,2024,"Etobicoke-Lakeshore",0
"178",84,1993,2023,"Beaches-East York",0
"179",82,1989,2023,"Beaches-East York",0
"180",85,1989,2023,"Beaches-East York",0
"181",78,1958,2024,"Parkdale-High Park",0
"182",92,1957,2023,"Parkdale-High Park",0
"183",80,1955,2024,"Parkdale-High Park",0
"184",86,1935,2023,"Toronto-St. Paul's",0
"185",99,2022,2023,"University-Rosedale",0
"186",88,1912,2024,"University-Rosedale",0
"187",84,1929,2024,"University-Rosedale",0
"188",79,1930,2024,"Davenport",0
"189",79,1950,2023,"Davenport",0
"190",92,1963,2024,"Don Valley East",0
"191",90,1963,2024,"Don Valley East",0
"192",88,1964,2024,"Scarborough-Guildwood",-1
"193",98,2016,2023,"Toronto Centre",0
"194",96,1973,2024,"Etobicoke-Lakeshore",0
"195",85,1977,2023,"Etobicoke-Lakeshore",0
"196",94,1963,2023,"Toronto-Danforth",0
"197",97,1962,2023,"Toronto-Danforth",0
"198",92,1965,2023,"Toronto-Danforth",0
"199",97,1965,2024,"Toronto-Danforth",0
"200",91,1973,2024,"Toronto-Danforth",0
"201",98,1970,2023,"Toronto-Danforth",0
