"","building_eval_score","year_built","year_evaluated","wardname","reactive_score"
"599",87,1984,2024,"Etobicoke North",0
"600",96,1960,2023,"Toronto Centre",0
"601",93,1915,2024,"Toronto Centre",0
"602",99,1973,2023,"Toronto Centre",0
"603",87,1805,2024,"University-Rosedale",0
"604",93,1903,2024,"University-Rosedale",0
"605",68,1898,2023,"University-Rosedale",0
"606",100,1965,2024,"University-Rosedale",0
"607",49,1918,2024,"University-Rosedale",0
"608",66,1960,2023,"Parkdale-High Park",0
"609",81,1970,2023,"Parkdale-High Park",0
"610",90,1971,2024,"Scarborough Centre",0
"611",74,1955,2024,"Etobicoke North",-1
"612",91,1975,2023,"Toronto Centre",0
"613",91,1955,2024,"Toronto Centre",0
"614",94,1960,2023,"Toronto Centre",0
"615",96,1965,2023,"Toronto Centre",0
"616",90,1963,2023,"Toronto Centre",0
"617",95,2016,2024,"Toronto Centre",0
"618",75,1928,2023,"Toronto Centre",0
"619",77,1968,2024,"Toronto Centre",0
"620",80,1959,2024,"Toronto Centre",-1
"621",79,1917,2023,"Toronto Centre",0
"622",87,1960,2023,"Toronto Centre",0
"623",90,1959,2024,"Toronto Centre",0
"624",88,1960,2024,"Toronto Centre",-1
"625",95,1960,2023,"Toronto Centre",0
"626",96,1951,2023,"Etobicoke-Lakeshore",0
"627",94,1951,2024,"Etobicoke-Lakeshore",0
"628",79,1957,2023,"Etobicoke-Lakeshore",0
"629",87,1971,2024,"Etobicoke-Lakeshore",-1
"630",90,1971,2023,"Etobicoke-Lakeshore",-1
"631",84,1973,2023,"Etobicoke North",0
"632",82,1973,2024,"Etobicoke North",0
"633",78,1970,2024,"Etobicoke North",0
"634",83,1970,2024,"Etobicoke North",0
"635",59,1964,2023,"Etobicoke North",-9
"636",81,1977,2024,"Etobicoke North",-1
"637",93,1962,2024,"Etobicoke North",0
"638",93,1958,2024,"Etobicoke North",0
"639",76,1972,2024,"Etobicoke North",-1
"640",89,1950,2023,"Etobicoke North",0
"641",89,1960,2023,"Etobicoke North",0
"642",85,1955,2024,"Etobicoke North",0
"643",98,1992,2023,"Etobicoke North",0
"644",88,1984,2023,"Etobicoke North",0
"645",84,1969,2024,"University-Rosedale",-2
"646",95,1967,2023,"Toronto-St. Paul's",0
"647",91,1960,2024,"Etobicoke-Lakeshore",-1
"648",93,1960,2023,"Etobicoke-Lakeshore",0
"649",95,1962,2024,"Parkdale-High Park",0
"650",90,1959,2023,"Parkdale-High Park",0
"651",87,1959,2023,"Parkdale-High Park",0
"652",95,1967,2023,"Parkdale-High Park",0
"653",87,1956,2023,"Parkdale-High Park",0
"654",91,1977,2023,"Parkdale-High Park",0
"655",87,1960,2023,"Parkdale-High Park",-2
"656",86,1968,2024,"Parkdale-High Park",0
"657",87,1960,2023,"Parkdale-High Park",0
"658",74,1960,2023,"Parkdale-High Park",0
"659",88,1955,2023,"Parkdale-High Park",0
"660",89,1955,2024,"Parkdale-High Park",-1
"661",90,1955,2023,"Parkdale-High Park",0
"662",92,1960,2023,"Parkdale-High Park",0
"663",88,1956,2023,"Parkdale-High Park",0
"664",93,1910,2024,"Parkdale-High Park",0
"665",94,1965,2024,"Parkdale-High Park",0
"666",94,1967,2024,"Parkdale-High Park",0
"667",93,1965,2023,"Parkdale-High Park",0
"668",91,1959,2024,"Parkdale-High Park",0
"669",84,1957,2024,"Parkdale-High Park",0
"670",97,1960,2023,"Parkdale-High Park",0
"671",93,1957,2024,"Parkdale-High Park",0
"672",72,1965,2023,"Parkdale-High Park",0
"673",96,1960,2024,"Parkdale-High Park",0
"674",95,1963,2024,"Parkdale-High Park",0
"675",91,1962,2023,"Parkdale-High Park",0
"676",84,1955,2023,"Parkdale-High Park",-1
"677",89,1910,2023,"Parkdale-High Park",0
"678",78,1910,2024,"Parkdale-High Park",-1
"679",89,1960,2023,"Parkdale-High Park",0
"680",87,1955,2024,"Parkdale-High Park",0
"681",97,1958,2023,"Parkdale-High Park",0
"682",92,1964,2024,"York South-Weston",0
"683",89,1964,2024,"York South-Weston",0
"684",97,1970,2024,"York South-Weston",0
"685",92,1973,2024,"York South-Weston",0
"686",98,1960,2023,"York South-Weston",0
"687",88,1968,2023,"York South-Weston",-1
"688",93,1967,2023,"York South-Weston",0
"689",96,1958,2023,"York South-Weston",0
"690",89,1960,2024,"York South-Weston",0
"691",75,1971,2024,"York South-Weston",0
"692",88,1960,2023,"York South-Weston",0
"693",79,1960,2023,"York South-Weston",0
"694",95,1970,2024,"York South-Weston",0
"695",82,1954,2024,"York South-Weston",0
"696",78,1966,2024,"York Centre",-2
"697",79,1950,2023,"York Centre",-1
"698",83,1964,2024,"York Centre",0
"699",79,1964,2024,"York Centre",0
"700",80,1965,2024,"York Centre",0
"701",98,1965,2023,"York Centre",0
"702",98,1965,2023,"York Centre",0
"703",99,1965,2024,"York Centre",0
"704",98,1965,2023,"York Centre",0
"705",94,1968,2023,"York Centre",0
"706",90,1970,2024,"York Centre",0
"707",90,1960,2023,"Humber River-Black Creek",0
"708",96,1972,2024,"Humber River-Black Creek",0
"709",89,1968,2023,"Humber River-Black Creek",0
"710",86,1968,2023,"Humber River-Black Creek",0
"711",91,1975,2024,"Humber River-Black Creek",0
"712",79,1971,2023,"Humber River-Black Creek",0
"713",90,1960,2024,"Humber River-Black Creek",0
"714",98,1970,2024,"Humber River-Black Creek",0
"715",94,1970,2024,"Humber River-Black Creek",0
"716",81,1971,2023,"Humber River-Black Creek",0
"717",92,1970,2024,"Humber River-Black Creek",0
"718",93,1967,2024,"Humber River-Black Creek",0
"719",92,1974,2023,"Humber River-Black Creek",0
"720",79,1973,2024,"Humber River-Black Creek",0
"721",74,1975,2023,"Humber River-Black Creek",0
"722",89,1967,2024,"Etobicoke North",0
"723",85,1967,2023,"Etobicoke North",0
"724",85,1963,2024,"Etobicoke North",-1
"725",81,1963,2023,"Etobicoke North",-1
"726",97,2009,2024,"Toronto Centre",0
"727",86,1994,2023,"Toronto Centre",0
"728",86,1929,2023,"Toronto Centre",0
"729",81,1992,2024,"Toronto Centre",0
"730",90,1995,2024,"Toronto Centre",0
"731",80,1960,2023,"Toronto Centre",0
"732",89,1928,2023,"Toronto Centre",0
"733",89,1960,2023,"Toronto Centre",0
"734",85,1960,2024,"Toronto Centre",0
"735",99,1928,2023,"Toronto Centre",0
"736",77,1991,2024,"Toronto Centre",0
"737",96,1888,2024,"Toronto Centre",0
"738",76,1900,2023,"Toronto Centre",0
"739",91,1954,2023,"York South-Weston",0
"740",17,1954,2023,"York South-Weston",0
"741",83,1966,2023,"Humber River-Black Creek",0
"742",94,2018,2024,"York South-Weston",0
"743",94,1940,2023,"York South-Weston",0
"744",91,1979,2023,"Spadina-Fort York",0
"745",74,1992,2024,"Spadina-Fort York",0
"746",90,1958,2024,"Parkdale-High Park",-1
"747",87,1996,2023,"York South-Weston",0
"748",86,1958,2024,"York South-Weston",-1
"749",90,1955,2023,"York South-Weston",0
"750",92,1957,2023,"York South-Weston",0
"751",95,1960,2023,"York South-Weston",0
"752",82,1959,2023,"York South-Weston",0
"753",95,1961,2024,"York South-Weston",0
"754",95,1961,2024,"York South-Weston",0
"755",73,1992,2024,"York South-Weston",0
"756",74,1957,2024,"York South-Weston",0
"757",69,1955,2024,"York South-Weston",0
"758",82,1958,2024,"York South-Weston",-1
"759",83,2002,2024,"York South-Weston",-1
"760",82,1957,2024,"York South-Weston",0
"761",78,1957,2023,"York South-Weston",0
"762",67,1954,2024,"York South-Weston",0
"763",79,1950,2023,"York South-Weston",0
"764",81,1960,2024,"York South-Weston",0
"765",92,1954,2023,"York South-Weston",0
"766",89,1958,2023,"York South-Weston",0
"767",83,1953,2024,"York South-Weston",0
"768",82,1950,2023,"York South-Weston",0
"769",83,1954,2024,"York South-Weston",0
"770",69,1950,2023,"York South-Weston",0
"771",86,1950,2023,"York South-Weston",0
"772",82,1960,2023,"York South-Weston",0
"773",84,1950,2023,"York South-Weston",0
"774",86,1958,2024,"York South-Weston",0
"775",83,1967,2024,"York South-Weston",0
"776",84,1977,2023,"York South-Weston",-1
"777",79,1955,2023,"York South-Weston",0
"778",83,1955,2023,"York South-Weston",0
"779",93,1954,2024,"York South-Weston",-1
"780",74,1958,2023,"York South-Weston",0
"781",80,1958,2024,"York South-Weston",0
"782",83,1955,2024,"York South-Weston",0
"783",90,1950,2023,"York South-Weston",0
"784",78,1956,2023,"York South-Weston",0
"785",95,1955,2024,"York South-Weston",0
"786",68,1984,2023,"York South-Weston",0
"787",91,1954,2023,"York South-Weston",0
"788",96,1965,2023,"York South-Weston",0
"789",85,1954,2024,"York South-Weston",0
"790",87,1968,2024,"York South-Weston",0
"791",93,1958,2024,"York South-Weston",0
"792",82,1953,2024,"York South-Weston",0
"793",82,1955,2024,"York South-Weston",-1
"794",88,1955,2023,"York South-Weston",0
"795",84,1953,2024,"York South-Weston",0
"796",91,1960,2024,"York South-Weston",0
"797",87,1965,2024,"York Centre",0
"798",94,1962,2023,"York Centre",0
"799",93,1950,2023,"York Centre",0
"800",80,1955,2023,"York Centre",0
"801",74,1972,2023,"York Centre",0
"802",72,1957,2023,"York Centre",0
"803",86,1963,2023,"York Centre",0
"804",89,1945,2024,"York Centre",0
"805",88,1955,2024,"York Centre",0
"806",80,1969,2024,"York Centre",0
"807",82,1960,2023,"York Centre",0
"808",78,1955,2024,"York Centre",0
"809",77,1959,2024,"York Centre",0
"810",58,1950,2024,"York Centre",0
"811",71,1968,2023,"York Centre",0
"812",88,1954,2023,"York Centre",0
"813",92,1960,2023,"York Centre",0
"814",75,1965,2023,"York Centre",0
"815",84,1954,2024,"York Centre",0
"816",76,1952,2023,"York Centre",0
"817",77,1954,2023,"York Centre",0
"818",72,1955,2024,"York Centre",0
"819",87,1959,2024,"York Centre",0
"820",81,1963,2024,"York Centre",0
"821",89,1965,2023,"York Centre",0
"822",85,1967,2024,"York Centre",0
"823",91,1967,2024,"York Centre",0
"824",86,1994,2023,"Humber River-Black Creek",0
"825",81,1970,2023,"Humber River-Black Creek",0
"826",77,1962,2023,"Humber River-Black Creek",0
"827",77,1972,2023,"Humber River-Black Creek",0
"828",86,1958,2023,"Don Valley West",0
"829",99,2016,2023,"Don Valley West",0
"830",93,1955,2024,"Don Valley West",0
"831",89,1955,2024,"Don Valley West",0
"832",90,1960,2023,"York Centre",0
"833",95,1976,2023,"Don Valley East",0
"834",86,1973,2024,"Don Valley East",0
"835",96,1969,2023,"Don Valley East",0
"836",93,1974,2024,"Don Valley East",0
"837",82,1970,2024,"Toronto Centre",0
"838",92,1940,2024,"University-Rosedale",0
"839",54,1980,2023,"University-Rosedale",-1
"840",89,1996,2023,"Toronto-St. Paul's",0
"841",70,1930,2023,"Toronto-St. Paul's",0
"842",83,1987,2023,"Don Valley West",0
"843",67,1940,2023,"Eglinton-Lawrence",0
"844",74,1960,2023,"Don Valley West",0
"845",91,1954,2023,"Eglinton-Lawrence",0
"846",90,1937,2024,"Don Valley West",-1
"847",90,1990,2024,"Don Valley West",-2
"848",90,1970,2024,"Don Valley West",-1
"849",85,1950,2024,"Eglinton-Lawrence",0
"850",89,1930,2023,"Don Valley West",0
"851",88,1928,2024,"Don Valley West",-1
"852",88,1960,2023,"Don Valley West",0
"853",98,1929,2023,"Eglinton-Lawrence",0
"854",99,1929,2024,"Eglinton-Lawrence",0
"855",85,1955,2023,"Eglinton-Lawrence",0
"856",84,1957,2023,"Eglinton-Lawrence",0
"857",98,1957,2023,"Eglinton-Lawrence",0
"858",88,1990,2023,"Don Valley West",0
"859",67,1940,2024,"Eglinton-Lawrence",-1
"860",83,1940,2024,"Eglinton-Lawrence",0
"861",92,1964,2024,"Eglinton-Lawrence",0
"862",89,1986,2023,"Willowdale",0
"863",80,1970,2024,"Willowdale",0
"864",97,1970,2023,"Willowdale",0
"865",97,1963,2023,"Willowdale",0
"866",92,1968,2024,"Willowdale",0
"867",93,1968,2023,"Willowdale",0
"868",86,1966,2023,"Humber River-Black Creek",0
"869",85,1965,2023,"Humber River-Black Creek",0
"870",97,1970,2023,"Don Valley West",0
"871",95,1972,2024,"Don Valley West",0
"872",95,1970,2024,"Don Valley West",0
"873",96,1970,2024,"Don Valley West",0
"874",90,1967,2023,"Don Valley East",0
"875",85,1967,2023,"Don Valley East",0
"876",91,1963,2023,"Don Valley East",0
"877",95,1964,2023,"Don Valley East",0
"878",95,1963,2024,"Don Valley East",0
"879",96,2023,2023,"Don Valley East",0
"880",92,1963,2024,"Don Valley East",0
"881",84,1961,2024,"Don Valley East",0
"882",86,1961,2024,"Don Valley East",-1
"883",95,1963,2024,"Don Valley East",0
"884",87,1970,2024,"Don Valley East",0
"885",93,1959,2024,"Don Valley East",0
"886",88,1965,2023,"Don Valley East",0
"887",87,1972,2024,"Humber River-Black Creek",0
"888",94,2018,2023,"Eglinton-Lawrence",0
"889",87,1952,2024,"Don Valley West",0
"890",89,1934,2023,"Toronto-St. Paul's",0
"891",92,1960,2024,"Toronto-St. Paul's",-1
"892",82,1954,2023,"Toronto-St. Paul's",0
"893",89,1970,2024,"Scarborough Southwest",-2
"894",86,1971,2023,"Scarborough Southwest",0
"895",81,1971,2023,"Scarborough Southwest",0
"896",83,1971,2023,"Scarborough Southwest",0
"897",85,1971,2024,"Scarborough Southwest",0
"898",63,1952,2024,"Scarborough Southwest",0
"899",87,1954,2024,"Scarborough Southwest",0
"900",80,1950,2024,"Beaches-East York",0
"901",82,1962,2023,"Eglinton-Lawrence",0
"902",95,1962,2024,"Eglinton-Lawrence",0
"903",93,1955,2024,"University-Rosedale",0
"904",79,1962,2023,"Beaches-East York",-1
"905",97,1950,2024,"York South-Weston",0
"906",96,1950,2023,"York South-Weston",0
"907",75,1930,2024,"Davenport",0
"908",98,1986,2024,"Parkdale-High Park",0
"909",88,1973,2023,"Parkdale-High Park",0
"910",76,1955,2023,"Beaches-East York",-1
"911",100,2021,2023,"Toronto Centre",0
"912",91,1928,2024,"Toronto Centre",0
"913",90,1960,2024,"Toronto Centre",0
"914",81,1911,2024,"Toronto Centre",-1
"915",90,1940,2023,"Toronto Centre",0
"916",83,1960,2023,"Etobicoke-Lakeshore",0
"917",89,1970,2024,"Toronto Centre",0
"918",80,1968,2024,"Toronto Centre",0
"919",72,1917,2024,"Toronto Centre",-1
"920",92,1963,2023,"Toronto-St. Paul's",0
"921",98,1966,2023,"Toronto-St. Paul's",0
"922",93,1977,2024,"Toronto-St. Paul's",0
"923",85,1931,2023,"Parkdale-High Park",0
"924",74,1959,2024,"Parkdale-High Park",-1
"925",95,1992,2024,"Parkdale-High Park",-1
"926",84,1971,2024,"Parkdale-High Park",0
"927",99,1974,2024,"Eglinton-Lawrence",0
"928",86,1900,2024,"Eglinton-Lawrence",0
"929",78,1900,2023,"Eglinton-Lawrence",0
"930",87,1974,2023,"Eglinton-Lawrence",0
"931",76,1913,2024,"University-Rosedale",0
"932",98,2021,2023,"University-Rosedale",0
"933",70,2006,2023,"Davenport",0
"934",82,2008,2024,"Davenport",0
"935",47,1920,2024,"Davenport",-1
"936",95,1992,2023,"Scarborough-Rouge Park",0
"937",91,1992,2023,"Scarborough-Rouge Park",0
"938",92,1992,2023,"Scarborough-Rouge Park",0
"939",95,1992,2023,"Scarborough-Rouge Park",0
"940",89,1992,2023,"Scarborough-Rouge Park",0
"941",93,1992,2023,"Scarborough-Rouge Park",0
"942",84,1967,2024,"Davenport",0
"943",94,1918,2023,"Toronto Centre",0
"944",76,1925,2023,"Toronto Centre",0
"945",94,1929,2024,"Toronto Centre",0
"946",95,1993,2023,"Toronto Centre",0
"947",81,1940,2024,"Toronto-St. Paul's",0
"948",94,1989,2023,"Toronto-Danforth",0
"949",92,1995,2024,"Toronto-Danforth",0
"950",95,1989,2023,"Toronto-Danforth",0
"951",98,1965,2023,"Beaches-East York",0
"952",96,1965,2023,"Toronto-Danforth",-1
"953",78,1960,2023,"Beaches-East York",0
"954",96,1960,2024,"Don Valley East",0
"955",88,1960,2023,"Don Valley East",0
"956",90,1962,2023,"Don Valley East",0
"957",87,1960,2023,"Don Valley East",0
"958",86,1960,2023,"Don Valley East",0
"959",94,1958,2024,"Don Valley East",0
"960",80,1960,2023,"Don Valley East",0
"961",89,1958,2023,"Don Valley East",0
"962",95,1960,2024,"Don Valley East",0
"963",94,1958,2024,"Don Valley East",0
"964",80,1970,2024,"Beaches-East York",0
"965",84,1959,2023,"Beaches-East York",0
"966",87,1956,2024,"Beaches-East York",0
"967",79,1956,2024,"Beaches-East York",0
"968",89,1968,2023,"Eglinton-Lawrence",0
"969",87,1928,2023,"Toronto-St. Paul's",0
"970",86,2011,2023,"University-Rosedale",0
"971",91,1981,2023,"Toronto-St. Paul's",0
"972",81,1930,2023,"Toronto-St. Paul's",0
"973",89,1972,2024,"Toronto-St. Paul's",0
"974",86,1967,2024,"Don Valley West",0
"975",100,1969,2023,"Don Valley West",0
"976",97,1962,2023,"Don Valley West",0
"977",89,1969,2023,"Don Valley West",0
"978",91,1957,2024,"Don Valley West",0
"979",90,1963,2024,"Don Valley West",0
"980",84,1965,2023,"Don Valley West",0
"981",93,1960,2023,"Don Valley West",0
"982",91,1963,2023,"Don Valley West",0
"983",87,1959,2024,"Don Valley West",-1
"984",93,1965,2024,"Don Valley West",0
"985",89,1964,2023,"Don Valley West",0
"986",93,1965,2024,"Don Valley West",0
"987",95,1960,2023,"Don Valley West",0
"988",97,1986,2024,"Don Valley West",0
"989",78,1954,2023,"Don Valley West",0
"990",90,1961,2023,"Don Valley West",0
"991",86,1954,2023,"Don Valley West",0
"992",72,1950,2024,"Don Valley West",-1
"993",90,1954,2024,"Don Valley West",0
"994",84,1958,2023,"Don Valley West",0
"995",83,1945,2023,"Don Valley West",0
"996",78,1944,2023,"Don Valley West",0
"997",79,1954,2024,"Don Valley West",0
"998",90,1965,2024,"Don Valley West",0
"999",86,1962,2024,"Don Valley West",0
"1000",92,1982,2024,"Don Valley East",0
"1001",88,1982,2024,"Don Valley East",0
"1002",94,1982,2023,"Don Valley East",0
"1003",91,1971,2024,"Scarborough Southwest",0
"1004",90,1971,2023,"Scarborough Southwest",0
"1005",88,1958,2024,"Scarborough Southwest",0
"1006",90,1958,2024,"Scarborough Southwest",0
"1007",94,1960,2023,"Scarborough Southwest",0
"1008",92,1968,2024,"Scarborough Southwest",0
"1009",95,1964,2023,"Scarborough Southwest",0
"1010",90,1960,2023,"Scarborough Southwest",-1
"1011",92,1968,2023,"Scarborough Southwest",-1
"1012",81,1962,2024,"Scarborough Southwest",0
"1013",89,1960,2023,"Scarborough Centre",0
"1014",88,1960,2023,"Scarborough Centre",0
"1015",94,1965,2023,"Scarborough Centre",0
"1016",91,1965,2023,"Scarborough Southwest",0
"1017",89,1953,2024,"Scarborough Southwest",0
"1018",87,1960,2024,"Scarborough Southwest",0
"1019",79,1960,2024,"Scarborough Southwest",0
"1020",78,1969,2024,"Scarborough Southwest",0
"1021",82,1965,2024,"Scarborough Southwest",-2
"1022",77,1965,2024,"Scarborough Southwest",0
"1023",79,1950,2023,"Toronto-St. Paul's",-1
"1024",78,1950,2024,"Toronto-St. Paul's",0
"1025",84,1920,2023,"Toronto-St. Paul's",0
"1026",93,1955,2023,"Toronto-St. Paul's",0
"1027",82,1957,2023,"Eglinton-Lawrence",0
"1028",82,1960,2023,"Eglinton-Lawrence",0
"1029",79,1968,2024,"Eglinton-Lawrence",-1
"1030",88,1961,2024,"Eglinton-Lawrence",-1
"1031",83,1950,2024,"Toronto-St. Paul's",-1
"1032",86,1950,2023,"Toronto-St. Paul's",-3
"1033",87,1950,2024,"Toronto-St. Paul's",-1
"1034",89,1950,2024,"Toronto-St. Paul's",-1
"1035",84,1930,2023,"Toronto-St. Paul's",0
"1036",95,1952,2023,"Eglinton-Lawrence",0
"1037",79,1941,2024,"Eglinton-Lawrence",0
"1038",79,1941,2023,"Eglinton-Lawrence",0
"1039",75,1941,2024,"Eglinton-Lawrence",0
"1040",92,1980,2023,"Toronto-St. Paul's",0
"1041",87,1955,2024,"Toronto-St. Paul's",0
"1042",87,1955,2023,"Toronto-St. Paul's",0
"1043",74,1958,2023,"Eglinton-Lawrence",0
"1044",79,1955,2024,"Eglinton-Lawrence",0
"1045",79,1954,2024,"Eglinton-Lawrence",0
"1046",78,1960,2024,"Eglinton-Lawrence",-1
"1047",80,1960,2024,"Toronto-St. Paul's",0
"1048",74,1960,2023,"Toronto-St. Paul's",0
"1049",91,1981,2023,"Toronto-St. Paul's",0
"1050",72,1937,2024,"Eglinton-Lawrence",0
"1051",78,1960,2024,"Toronto-St. Paul's",0
"1052",78,1963,2024,"Davenport",-1
"1053",89,1959,2023,"Davenport",0
"1054",98,1950,2024,"Eglinton-Lawrence",0
"1055",79,1989,2024,"York South-Weston",-2
"1056",88,1993,2024,"York South-Weston",0
"1057",95,1975,2023,"York South-Weston",0
"1058",76,1950,2024,"York South-Weston",-2
"1059",73,1950,2023,"York South-Weston",-1
"1060",82,1953,2024,"York South-Weston",-1
"1061",80,2009,2024,"York South-Weston",0
"1062",95,1953,2023,"York South-Weston",0
"1063",96,1986,2024,"York South-Weston",0
"1064",87,1960,2024,"Etobicoke-Lakeshore",0
"1065",93,1951,2024,"Etobicoke-Lakeshore",0
"1066",91,1960,2024,"Etobicoke-Lakeshore",0
"1067",92,1960,2024,"Etobicoke-Lakeshore",-1
"1068",94,1960,2023,"Etobicoke-Lakeshore",0
"1069",95,1962,2023,"Etobicoke-Lakeshore",0
"1070",87,2011,2023,"University-Rosedale",0
"1071",86,1970,2023,"Don Valley North",0
"1072",99,1966,2024,"Willowdale",0
"1073",97,1966,2023,"Willowdale",0
"1074",90,1967,2023,"Scarborough Centre",0
"1075",91,1976,2024,"Scarborough Centre",0
"1076",88,1976,2024,"Scarborough Centre",0
"1077",98,1994,2024,"Scarborough-Guildwood",0
"1078",92,1969,2024,"Scarborough-Guildwood",0
"1079",96,1969,2024,"Scarborough-Guildwood",0
"1080",92,1976,2024,"Scarborough-Guildwood",0
"1081",91,1960,2024,"York Centre",0
"1082",94,1982,2023,"Toronto-St. Paul's",0
"1083",85,1957,2024,"University-Rosedale",-1
"1084",88,1957,2023,"University-Rosedale",-1
"1085",84,1950,2024,"University-Rosedale",-1
"1086",72,1931,2024,"Parkdale-High Park",-1
"1087",82,1957,2024,"Parkdale-High Park",-1
"1088",87,1931,2024,"Parkdale-High Park",-1
"1089",82,1968,2023,"Parkdale-High Park",0
"1090",96,1967,2023,"Eglinton-Lawrence",0
"1091",97,1985,2023,"Eglinton-Lawrence",0
"1092",85,1985,2024,"University-Rosedale",0
"1093",84,1961,2024,"University-Rosedale",-2
"1094",83,1970,2024,"University-Rosedale",0
"1095",92,1955,2024,"Beaches-East York",0
"1096",86,1945,2024,"Toronto-Danforth",0
"1097",76,1959,2023,"Don Valley East",0
"1098",76,1968,2023,"York South-Weston",-1
"1099",91,1971,2023,"York South-Weston",0
"1100",87,1956,2024,"Scarborough Southwest",0
"1101",82,1970,2024,"Scarborough Southwest",0
"1102",79,1956,2024,"Scarborough Southwest",0
"1103",81,2023,2024,"Scarborough Southwest",0
"1104",81,1956,2024,"Scarborough Southwest",0
"1105",78,2023,2024,"Scarborough Southwest",0
"1106",87,1969,2023,"Scarborough Southwest",-3
"1107",91,1970,2023,"Don Valley West",0
"1108",100,2020,2023,"Don Valley West",0
"1109",77,1964,2023,"Don Valley West",0
"1110",98,1964,2023,"Don Valley West",0
"1111",84,1956,2024,"Don Valley West",0
"1112",90,1970,2023,"Don Valley West",0
"1113",70,1947,2023,"Don Valley West",0
"1114",96,1972,2023,"Don Valley West",0
"1115",93,1970,2024,"Don Valley West",0
"1116",99,1972,2024,"Don Valley West",-1
"1117",98,1962,2024,"Don Valley West",0
"1118",96,1969,2023,"Don Valley West",0
"1119",98,1950,2024,"Don Valley West",0
"1120",94,1957,2024,"Don Valley West",0
"1121",93,1960,2024,"Don Valley West",0
"1122",99,1961,2023,"Don Valley West",0
"1123",98,1966,2023,"Don Valley North",0
"1124",89,1966,2023,"Don Valley North",0
"1125",94,1965,2024,"Don Valley North",0
"1126",93,1963,2023,"Etobicoke North",0
"1127",94,1963,2023,"Etobicoke North",0
"1128",71,1930,2024,"Spadina-Fort York",0
"1129",65,1958,2024,"Eglinton-Lawrence",0
"1130",88,1974,2024,"Etobicoke Centre",0
"1131",93,1974,2023,"Etobicoke Centre",0
"1132",79,1971,2023,"Etobicoke Centre",0
"1133",84,1960,2024,"Etobicoke Centre",-1
"1134",91,1967,2023,"Etobicoke-Lakeshore",0
"1135",83,1970,2024,"Etobicoke-Lakeshore",0
"1136",97,1967,2024,"Etobicoke-Lakeshore",0
"1137",89,1970,2023,"York Centre",0
"1138",88,1968,2023,"York Centre",0
"1139",90,1970,2024,"York Centre",0
"1140",96,1970,2023,"York South-Weston",0
"1141",93,1970,2024,"York South-Weston",0
"1142",85,1957,2024,"York South-Weston",0
"1143",97,1996,2023,"York South-Weston",0
"1144",90,1970,2024,"Don Valley West",0
"1145",86,1989,2024,"York Centre",-1
"1146",91,1960,2023,"York Centre",0
"1147",86,1960,2024,"York Centre",0
"1148",75,1965,2024,"Don Valley East",-1
"1149",89,1952,2023,"Parkdale-High Park",0
"1150",80,1965,2024,"Toronto-Danforth",0
"1151",79,1965,2024,"Toronto-Danforth",-1
"1152",85,1965,2024,"Toronto-Danforth",0
"1153",74,1952,2024,"Toronto-Danforth",0
"1154",82,1973,2023,"Don Valley North",0
"1155",78,1973,2024,"Don Valley North",-1
"1156",86,1973,2023,"Don Valley North",0
"1157",77,1973,2024,"Don Valley North",0
"1158",81,1973,2023,"Don Valley North",0
"1159",83,1973,2023,"Don Valley North",0
"1160",94,1958,2023,"Etobicoke-Lakeshore",0
"1161",85,1957,2023,"Etobicoke-Lakeshore",0
"1162",92,1957,2024,"Etobicoke-Lakeshore",0
"1163",88,1955,2023,"Etobicoke-Lakeshore",0
"1164",88,1958,2024,"Etobicoke-Lakeshore",0
"1165",100,1985,2024,"Willowdale",0
"1166",91,1979,2023,"Don Valley North",0
"1167",81,1975,2023,"Scarborough-Agincourt",-1
"1168",89,1961,2024,"Willowdale",0
"1169",78,1959,2024,"Willowdale",0
"1170",77,1962,2024,"Willowdale",0
"1171",85,1960,2024,"York Centre",0
"1172",82,1969,2023,"York Centre",0
"1173",87,1967,2024,"York Centre",0
"1174",82,1983,2023,"York Centre",0
"1175",87,1987,2023,"York Centre",0
"1176",92,1964,2024,"York Centre",0
"1177",88,1970,2024,"York Centre",0
"1178",95,1971,2024,"Humber River-Black Creek",0
"1179",74,2008,2023,"Humber River-Black Creek",0
"1180",98,1970,2024,"Humber River-Black Creek",0
"1181",76,1972,2023,"Humber River-Black Creek",-2
"1182",77,1959,2023,"Humber River-Black Creek",0
"1183",82,1959,2023,"Humber River-Black Creek",0
"1184",92,1962,2023,"Humber River-Black Creek",0
"1185",94,1971,2024,"Humber River-Black Creek",0
"1186",83,1993,2023,"Humber River-Black Creek",0
"1187",92,1962,2023,"Scarborough Southwest",0
"1188",96,1964,2023,"Scarborough Southwest",0
"1189",89,1970,2024,"York Centre",0
"1190",96,1970,2023,"York Centre",0
"1191",96,1953,2024,"York South-Weston",0
"1192",97,1953,2024,"York South-Weston",0
"1193",98,1953,2024,"York South-Weston",0
"1194",98,1953,2024,"York South-Weston",0
"1195",81,1957,2023,"Eglinton-Lawrence",0
"1196",78,1957,2023,"Eglinton-Lawrence",0
"1197",80,1957,2023,"Eglinton-Lawrence",0
"1198",83,1957,2024,"Eglinton-Lawrence",0
"1199",79,1957,2023,"Eglinton-Lawrence",0
"1200",90,1957,2023,"Eglinton-Lawrence",0
"1201",83,1992,2023,"Toronto-Danforth",0
"1202",76,1952,2023,"Toronto-Danforth",0
"1203",84,1960,2023,"Scarborough Southwest",0
